,Time,force_x,force_y,force_z,torque_x,torque_y,torque_z,position_x,surge_vel
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333
12,1.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.06333333333333332
13,1.3,10.0,0.0,0.0,0.0,0.0,0.0,0.009666666666666667,0.09033333333333332
14,1.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0187,0.11463333333333332
15,1.5,10.0,0.0,0.0,0.0,0.0,0.0,0.030163333333333334,0.1365033333333333
16,1.6,10.0,0.0,0.0,0.0,0.0,0.0,0.04381366666666667,0.15618633333333332
17,1.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0594323,0.17390103333333332
18,1.8,10.0,0.0,0.0,0.0,0.0,0.0,0.07682240333333333,0.18984426333333332
19,1.9,10.0,0.0,0.0,0.0,0.0,0.0,0.09580682966666666,0.2041931703333333
20,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.11622614669999999,0.2171071866333333
21,2.1,10.0,0.0,0.0,0.0,0.0,0.0,0.13793686536333333,0.2287298013033333
22,2.2,10.0,0.0,0.0,0.0,0.0,0.0,0.16080984549366667,0.23919015450633332
23,2.3,10.0,0.0,0.0,0.0,0.0,0.0,0.1847288609443,0.24860447238903333
24,2.4,10.0,0.0,0.0,0.0,0.0,0.0,0.20958930818320332,0.2570773584834633
25,2.5,10.0,0.0,0.0,0.0,0.0,0.0,0.23529704403154966,0.2647029559684503
26,2.6,10.0,0.0,0.0,0.0,0.0,0.0,0.2617673396283947,0.2715659937049386
27,2.7,10.0,0.0,0.0,0.0,0.0,0.0,0.2889239389988886,0.2777427276677781
28,2.8,10.0,0.0,0.0,0.0,0.0,0.0,0.31669821176566637,0.2833017882343336
29,2.9,10.0,0.0,0.0,0.0,0.0,0.0,0.34502839058909973,0.28830494274423357
30,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.3738588848635231,0.29280778180314354
31,3.1,10.0,0.0,0.0,0.0,0.0,0.0,0.4031396630438374,0.29686033695616254
32,3.2,10.0,0.0,0.0,0.0,0.0,0.0,0.43282569673945365,0.30050763659387963
33,3.3,10.0,0.0,0.0,0.0,0.0,0.0,0.4628764603988416,0.303790206267825
34,3.4,10.0,0.0,0.0,0.0,0.0,0.0,0.4932554810256241,0.3067445189743758
35,3.5,10.0,0.0,0.0,0.0,0.0,0.0,0.5239299329230617,0.3094034004102716
36,3.6,10.0,0.0,0.0,0.0,0.0,0.0,0.5548702729640889,0.3117963937025778
37,3.7,10.0,0.0,0.0,0.0,0.0,0.0,0.5860499123343467,0.31395008766565335
38,3.8,10.0,0.0,0.0,0.0,0.0,0.0,0.617444921100912,0.31588841223242137
39,3.9,10.0,0.0,0.0,0.0,0.0,0.0,0.6490337623241541,0.31763290434251257
40,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.6807970527584054,0.31920294724159465
41,4.1,10.0,0.0,0.0,0.0,0.0,0.0,0.7127173474825649,0.3206159858507685
42,4.2,10.0,0.0,0.0,0.0,0.0,0.0,0.7447789460676417,0.321887720599025
43,4.3,10.0,0.0,0.0,0.0,0.0,0.0,0.7769677181275442,0.3230322818724558
44,4.4,10.0,0.0,0.0,0.0,0.0,0.0,0.8092709463147898,0.32406238701854356
45,4.5,10.0,0.0,0.0,0.0,0.0,0.0,0.8416771850166441,0.32498948165002256
46,4.6,10.0,0.0,0.0,0.0,0.0,0.0,0.8741761331816463,0.3258238668183536
47,4.7,10.0,0.0,0.0,0.0,0.0,0.0,0.9067585198634817,0.3265748134698516
48,4.8,10.0,0.0,0.0,0.0,0.0,0.0,0.9394160012104669,0.3272506654561998
49,4.9,10.0,0.0,0.0,0.0,0.0,0.0,0.9721410677560869,0.32785893224391316
50,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0049269609804783,0.3284063723528552
51,5.1,10.0,0.0,0.0,0.0,0.0,0.0,1.0377675982157637,0.328899068450903
52,5.2,10.0,0.0,0.0,0.0,0.0,0.0,1.070657505060854,0.329342494939146
53,5.3,10.0,0.0,0.0,0.0,0.0,0.0,1.1035917545547687,0.32974157877856475
54,5.4,10.0,0.0,0.0,0.0,0.0,0.0,1.136565912432625,0.3301007542340416
55,5.5,10.0,0.0,0.0,0.0,0.0,0.0,1.1695759878560292,0.33042401214397077
56,5.6,10.0,0.0,0.0,0.0,0.0,0.0,1.2026183890704263,0.33071494426290704
57,5.7,10.0,0.0,0.0,0.0,0.0,0.0,1.235689883496717,0.33097678316994966
58,5.8,10.0,0.0,0.0,0.0,0.0,0.0,1.2687875618137119,0.33121243818628804
59,5.9,10.0,0.0,0.0,0.0,0.0,0.0,1.3019088056323407,0.33142452770099257
60,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.3350512584024399,0.33161540826422664
61,6.1,10.0,0.0,0.0,0.0,0.0,0.0,1.3682127992288626,0.3317872007711373
62,6.2,10.0,0.0,0.0,0.0,0.0,0.0,1.4013915193059763,0.3319418140273569
63,6.3,10.0,0.0,0.0,0.0,0.0,0.0,1.434585700708712,0.33208096595795455
64,6.4,10.0,0.0,0.0,0.0,0.0,0.0,1.4677937973045074,0.33220620269549245
65,6.5,10.0,0.0,0.0,0.0,0.0,0.0,1.5010144175740567,0.3323189157592765
66,6.6,10.0,0.0,0.0,0.0,0.0,0.0,1.5342463091499843,0.3324203575166822
67,6.7,10.0,0.0,0.0,0.0,0.0,0.0,1.5674883449016526,0.3325116550983473
68,6.8,10.0,0.0,0.0,0.0,0.0,0.0,1.6007395104114872,0.3325938229218459
69,6.9,10.0,0.0,0.0,0.0,0.0,0.0,1.6339988927036717,0.33266777396299463
70,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.667265670099971,0.3327343299000285
71,7.1,10.0,0.0,0.0,0.0,0.0,0.0,1.700539103089974,0.33279423024335897
72,7.2,10.0,0.0,0.0,0.0,0.0,0.0,1.7338185261143098,0.3328481405523564
73,7.3,10.0,0.0,0.0,0.0,0.0,0.0,1.7671033401695453,0.3328966598304541
74,7.4,10.0,0.0,0.0,0.0,0.0,0.0,1.8003930061525908,0.332940327180742
75,7.5,10.0,0.0,0.0,0.0,0.0,0.0,1.833687038870665,0.33297962779600115
76,7.6,10.0,0.0,0.0,0.0,0.0,0.0,1.8669850016502652,0.33301499834973436
77,7.7,10.0,0.0,0.0,0.0,0.0,0.0,1.9002865014852386,0.33304683184809425
78,7.8,10.0,0.0,0.0,0.0,0.0,0.0,1.933591184670048,0.3330754819966182
79,7.9,10.0,0.0,0.0,0.0,0.0,0.0,1.9668987328697098,0.3331012671302897
80,8.0,10.0,0.0,0.0,0.0,0.0,0.0,2.000208859582739,0.33312447375059406
81,8.1,10.0,0.0,0.0,0.0,0.0,0.0,2.033521306957798,0.333145359708868
82,8.2,10.0,0.0,0.0,0.0,0.0,0.0,2.066835842928685,0.3331641570713145
83,8.3,10.0,0.0,0.0,0.0,0.0,0.0,2.1001522586358163,0.3331810746975164
84,8.4,10.0,0.0,0.0,0.0,0.0,0.0,2.133470366105568,0.3331963005610981
85,8.5,10.0,0.0,0.0,0.0,0.0,0.0,2.1667899961616777,0.3332100038383216
86,8.6,10.0,0.0,0.0,0.0,0.0,0.0,2.2001109965455097,0.33322233678782276
87,8.7,10.0,0.0,0.0,0.0,0.0,0.0,2.233433230224292,0.3332334364423738
88,8.8,10.0,0.0,0.0,0.0,0.0,0.0,2.266756573868529,0.33324342613146973
89,8.9,10.0,0.0,0.0,0.0,0.0,0.0,2.3000809164816762,0.3332524168516561
90,9.0,10.0,0.0,0.0,0.0,0.0,0.0,2.333406158166842,0.3332605084998238
91,9.1,10.0,0.0,0.0,0.0,0.0,0.0,2.366732209016824,0.33326779098317477
92,9.2,10.0,0.0,0.0,0.0,0.0,0.0,2.4000589881151417,0.3332743452181906
93,9.3,10.0,0.0,0.0,0.0,0.0,0.0,2.4333864226369606,0.33328024402970485
94,9.4,10.0,0.0,0.0,0.0,0.0,0.0,2.466714447039931,0.3332855529600677
95,9.5,10.0,0.0,0.0,0.0,0.0,0.0,2.500043002335938,0.33329033099739425
96,9.6,10.0,0.0,0.0,0.0,0.0,0.0,2.5333720354356775,0.3332946312309881
97,9.7,10.0,0.0,0.0,0.0,0.0,0.0,2.566701498558776,0.33329850144122264
98,9.8,10.0,0.0,0.0,0.0,0.0,0.0,2.6000313487028985,0.3333019846304337
99,9.9,10.0,0.0,0.0,0.0,0.0,0.0,2.6333615471659417,0.33330511950072367
